Column1,Air temperature _K_,Process temperature _K_,Rotational speed _rpm_,Torque _Nm_,Tool wear _min_,Type_H,Type_L,Type_M,Machine failure_RF
31,-0.502425141,-0.408152803,1.44595571,-1.453278234,-0.297733119,FALSE,TRUE,FALSE,0
32,-0.502425141,-0.408152803,-0.668113302,0.833941314,-0.266311757,FALSE,TRUE,FALSE,0
33,-0.552421174,-0.475553688,0.704079249,-0.751061706,-0.234890394,FALSE,TRUE,FALSE,0
34,-0.602417208,-0.61035546,0.112809288,-0.530365083,-0.203469032,FALSE,FALSE,TRUE,0
35,-0.602417208,-0.542954574,-0.484038691,0.864036308,-0.156336988,FALSE,FALSE,TRUE,0
36,-0.552421174,-0.542954574,0.235525695,-0.32973179,-0.109204945,FALSE,FALSE,TRUE,0
37,-0.602417208,-0.61035546,-0.556552932,-0.078940173,-0.062072901,FALSE,TRUE,FALSE,0
38,-0.552421174,-0.542954574,-0.891234042,1.074701266,-0.030651539,TRUE,FALSE,FALSE,0
39,-0.602417208,-0.61035546,-1.052996578,1.25527123,0.047901867,FALSE,TRUE,FALSE,0
40,-0.602417208,-0.61035546,-0.986060356,0.543023038,0.079323229,FALSE,TRUE,FALSE,0
41,-0.602417208,-0.61035546,-0.952592245,1.084732931,0.110744592,FALSE,TRUE,FALSE,0
42,-0.602417208,-0.61035546,-0.952592245,0.914194631,0.142165954,FALSE,FALSE,TRUE,0
43,-0.602417208,-0.542954574,-0.930280171,0.854004643,0.189297998,TRUE,FALSE,FALSE,0
44,-0.602417208,-0.61035546,-0.372478321,0.753687996,0.267851403,FALSE,FALSE,TRUE,0
45,-0.602417208,-0.61035546,-0.277652007,0.914194631,0.314983447,FALSE,TRUE,FALSE,0
46,-0.652413242,-0.677756345,1.696966542,-1.42318324,0.346404809,FALSE,FALSE,TRUE,0
47,-0.602417208,-0.61035546,-0.67369132,0.63330802,0.393536853,FALSE,TRUE,FALSE,0
48,-0.602417208,-0.542954574,-0.634645191,1.395714536,0.424958215,TRUE,FALSE,FALSE,0
49,-0.552421174,-0.542954574,-0.707159431,0.412611397,0.503511621,FALSE,FALSE,TRUE,0
50,-0.552421174,-0.61035546,7.375389375,-3.549896153,0.550643665,FALSE,TRUE,FALSE,1
51,-0.552421174,-0.61035546,-0.868921968,1.496031183,0.582065027,FALSE,TRUE,FALSE,0
52,-0.602417208,-0.677756345,-0.233027859,0.382516403,0.613486389,TRUE,FALSE,FALSE,0
53,-0.652413242,-0.677756345,0.146277399,-0.490238425,0.692039795,FALSE,TRUE,FALSE,0
54,-0.652413242,-0.677756345,0.84910773,-0.991821659,0.723461158,FALSE,TRUE,FALSE,0
55,-0.602417208,-0.61035546,-0.149357581,0.071534798,0.75488252,FALSE,TRUE,FALSE,0
56,-0.602417208,-0.61035546,-0.344588229,0.242073097,0.786303883,FALSE,TRUE,FALSE,0
57,-0.602417208,-0.61035546,-0.143779563,0.031408139,0.817725245,FALSE,TRUE,FALSE,0
58,-0.602417208,-0.677756345,0.681767175,-1.052011647,0.849146607,FALSE,FALSE,TRUE,0
59,-0.602417208,-0.61035546,-0.89681206,1.445872859,0.896278651,FALSE,TRUE,FALSE,0
60,-0.602417208,-0.61035546,-0.813141783,1.265302895,0.927700013,FALSE,TRUE,FALSE,0
61,-0.602417208,-0.677756345,0.296883899,-0.179256819,0.959121376,FALSE,FALSE,TRUE,0
62,-0.602417208,-0.677756345,1.618874283,-1.714101516,1.006253419,FALSE,TRUE,FALSE,0
63,-0.552421174,-0.677756345,1.524047969,-1.413151575,1.037674781,FALSE,FALSE,TRUE,0
64,-0.502425141,-0.61035546,-0.087999378,-0.139130161,1.084806825,FALSE,TRUE,FALSE,0
65,-0.502425141,-0.61035546,-0.807563764,0.512928044,1.116228187,FALSE,TRUE,FALSE,0
66,-0.552421174,-0.745157231,0.782171508,-1.132264964,1.14764955,FALSE,FALSE,TRUE,0
67,-0.602417208,-0.745157231,-0.405946432,0.412611397,1.194781593,TRUE,FALSE,FALSE,0
68,-0.602417208,-0.745157231,-0.065687304,-0.761093371,1.273334999,FALSE,TRUE,FALSE,0
69,-0.552421174,-0.677756345,-0.718315468,2.579450968,1.304756362,FALSE,TRUE,FALSE,1
70,-0.552421174,-0.677756345,2.148786041,-1.74419651,1.336177724,FALSE,FALSE,TRUE,0
71,-0.552421174,-0.61035546,-0.484038691,0.553054702,1.383309767,FALSE,TRUE,FALSE,0
72,-0.552421174,-0.61035546,-0.947014227,0.442706391,1.41473113,FALSE,TRUE,FALSE,0
73,-0.502425141,-0.61035546,0.296883899,-0.500270089,1.446152492,FALSE,TRUE,FALSE,0
74,-0.552421174,-0.677756345,0.347086065,-0.771125036,1.477573855,FALSE,TRUE,FALSE,0
75,-0.602417208,-0.745157231,-0.891234042,0.673434679,1.508995217,FALSE,TRUE,FALSE,0
76,-0.602417208,-0.745157231,-0.433836525,0.793814655,1.540416579,FALSE,TRUE,FALSE,0
77,-0.602417208,-0.745157231,-0.467304636,0.131724786,1.571837942,FALSE,TRUE,FALSE,1
78,-0.602417208,-0.745157231,-0.78525169,1.154954583,-1.695983744,FALSE,TRUE,FALSE,0
79,-0.602417208,-0.745157231,-0.762939616,-0.209351813,-1.664562382,FALSE,TRUE,FALSE,0
80,-0.602417208,-0.812558117,-0.523084821,0.994447948,-1.63314102,TRUE,FALSE,FALSE,0
81,-0.552421174,-0.745157231,-0.495194728,0.753687996,-1.554587614,FALSE,TRUE,FALSE,0
82,-0.552421174,-0.745157231,-0.478460673,0.081566462,-1.523166251,FALSE,TRUE,FALSE,0
83,-0.502425141,-0.677756345,-0.389212377,0.01134481,-1.491744889,FALSE,TRUE,FALSE,0
84,-0.552421174,-0.745157231,-0.651379246,0.763719661,-1.460323527,FALSE,TRUE,FALSE,0
85,-0.502425141,-0.677756345,1.479423821,-1.322866593,-1.428902164,FALSE,FALSE,TRUE,0
86,-0.502425141,-0.677756345,-0.573286987,0.392548068,-1.381770121,TRUE,FALSE,FALSE,0
87,-0.502425141,-0.677756345,0.029139011,-0.821283359,-1.303216715,FALSE,TRUE,FALSE,0
88,-0.502425141,-0.677756345,-0.668113302,0.522959708,-1.271795352,FALSE,FALSE,TRUE,0
89,-0.552421174,-0.745157231,-0.288808044,-0.048845179,-1.224663309,FALSE,FALSE,TRUE,0
90,-0.552421174,-0.745157231,1.194944877,-1.42318324,-1.177531265,FALSE,TRUE,FALSE,0
91,-0.552421174,-0.745157231,1.624452302,-1.513468222,-1.146109903,FALSE,TRUE,FALSE,0
92,-0.552421174,-0.745157231,1.049916396,-1.292771599,-1.114688541,FALSE,FALSE,TRUE,0
93,-0.452429107,-0.677756345,-0.495194728,0.302263085,-1.067556497,FALSE,TRUE,FALSE,0
94,-0.502425141,-0.745157231,0.464224454,-0.811251694,-1.036135135,FALSE,TRUE,FALSE,0
95,-0.502425141,-0.677756345,-1.04741856,1.225176236,-1.004713772,FALSE,FALSE,TRUE,0
96,-0.502425141,-0.677756345,0.202057584,-0.470175095,-0.957581729,FALSE,FALSE,TRUE,0
97,-0.552421174,-0.745157231,1.178210822,-1.011884988,-0.910449685,FALSE,FALSE,TRUE,0
98,-0.552421174,-0.812558117,-0.054531267,-0.730998377,-0.863317642,FALSE,TRUE,FALSE,0
99,-0.602417208,-0.812558117,-0.087999378,0.442706391,-0.831896279,FALSE,TRUE,FALSE,0
100,-0.602417208,-0.745157231,1.747168709,-1.503436558,-0.800474917,FALSE,TRUE,FALSE,0
101,-0.602417208,-0.812558117,2.52251328,-1.934798139,-0.769053555,FALSE,TRUE,FALSE,0
102,-0.602417208,-0.812558117,0.090497214,0.061503133,-0.737632192,FALSE,TRUE,FALSE,0
103,-0.602417208,-0.812558117,-0.545396895,0.051471468,-0.70621083,FALSE,FALSE,TRUE,0
104,-0.602417208,-0.879959002,-0.495194728,0.342389744,-0.659078786,FALSE,TRUE,FALSE,0
105,-0.602417208,-0.879959002,0.29130588,-0.891505012,-0.627657424,FALSE,TRUE,FALSE,0
106,-0.602417208,-0.879959002,-0.523084821,0.854004643,-0.596236062,FALSE,TRUE,FALSE,0
107,-0.602417208,-0.812558117,-0.233027859,0.683466343,-0.564814699,FALSE,FALSE,TRUE,0
108,-0.552421174,-0.812558117,0.458646435,-0.730998377,-0.517682656,TRUE,FALSE,FALSE,0
109,-0.552421174,-0.879959002,0.185323529,-0.590555071,-0.43912925,FALSE,TRUE,FALSE,0
110,-0.602417208,-0.947359888,1.858729079,-1.754228175,-0.407707887,FALSE,TRUE,FALSE,0
111,-0.652413242,-0.947359888,-0.221871822,0.352421409,-0.376286525,TRUE,FALSE,FALSE,0
112,-0.602417208,-0.879959002,-0.22744984,-0.048845179,-0.297733119,FALSE,FALSE,TRUE,0
113,-0.602417208,-0.947359888,-0.294386062,0.191914774,-0.250601076,FALSE,FALSE,TRUE,0
114,-0.602417208,-0.947359888,0.787749527,-1.062043311,-0.203469032,FALSE,TRUE,FALSE,0
115,-0.602417208,-0.947359888,-0.60117708,0.573118032,-0.17204767,FALSE,TRUE,FALSE,0
116,-0.552421174,-0.879959002,0.140699381,-0.590555071,-0.140626307,FALSE,TRUE,FALSE,0
117,-0.602417208,-0.947359888,0.335930028,-0.700903383,-0.109204945,FALSE,TRUE,FALSE,0
118,-0.602417208,-0.947359888,0.938356026,-1.192454952,-0.077783583,FALSE,FALSE,TRUE,0
119,-0.652413242,-1.014760773,-0.400368414,0.071534798,-0.030651539,FALSE,TRUE,FALSE,0
120,-0.552421174,-0.879959002,-0.590021043,0.472801385,0.000769823,FALSE,TRUE,FALSE,0
121,-0.552421174,-0.879959002,0.10723127,0.121693121,0.032191186,FALSE,TRUE,FALSE,0
122,-0.502425141,-0.812558117,-1.276117318,1.074701266,0.063612548,FALSE,TRUE,FALSE,0
123,-0.552421174,-0.879959002,0.040295048,0.342389744,0.09503391,FALSE,TRUE,FALSE,0
124,-0.552421174,-0.879959002,1.049916396,-1.062043311,0.126455273,FALSE,TRUE,FALSE,0
125,-0.552421174,-0.947359888,0.118387307,-0.7811567,0.157876635,FALSE,TRUE,FALSE,0
126,-0.502425141,-0.947359888,-1.170134967,2.057804405,0.189297998,FALSE,TRUE,FALSE,0
127,-0.552421174,-0.947359888,-0.701581413,0.653371349,0.22071936,FALSE,TRUE,FALSE,0
128,-0.502425141,-0.947359888,0.268993806,-0.139130161,0.252140722,FALSE,TRUE,FALSE,0
129,-0.552421174,-1.014760773,0.112809288,-0.570491742,0.283562085,FALSE,TRUE,FALSE,0
130,-0.602417208,-1.082161659,-0.366900303,0.111661456,0.314983447,FALSE,TRUE,FALSE,0
131,-0.602417208,-1.082161659,1.105696581,-1.232581611,0.346404809,FALSE,TRUE,FALSE,0
132,-0.652413242,-1.082161659,-0.545396895,0.322326415,0.377826172,FALSE,FALSE,TRUE,0
133,-0.652413242,-1.082161659,-0.606755098,0.964352954,0.424958215,FALSE,FALSE,TRUE,0
134,-0.602417208,-1.082161659,-0.947014227,1.305429554,0.472090259,FALSE,TRUE,FALSE,0
135,-0.602417208,-1.014760773,0.9606681,-1.152328294,0.503511621,FALSE,FALSE,TRUE,0
136,-0.652413242,-1.014760773,-0.662535283,0.573118032,0.550643665,TRUE,FALSE,FALSE,0
137,-0.652413242,-0.947359888,-1.348631559,1.536157841,0.629197071,FALSE,TRUE,FALSE,0
138,-0.602417208,-0.947359888,-0.500772747,0.944289625,0.660618433,TRUE,FALSE,FALSE,0
139,-0.602417208,-0.947359888,-1.510394095,1.586316165,0.739171839,FALSE,TRUE,FALSE,0
140,-0.602417208,-0.947359888,-0.1549356,-0.389921778,0.770593201,FALSE,TRUE,FALSE,0
141,-0.652413242,-1.014760773,0.029139011,-0.48020676,0.802014564,FALSE,TRUE,FALSE,0
142,-0.702409275,-1.082161659,1.33439534,-1.182423288,0.833435926,FALSE,FALSE,TRUE,0
143,-0.702409275,-1.082161659,-0.735049524,1.054637937,0.88056797,TRUE,FALSE,FALSE,0
144,-0.702409275,-1.082161659,-0.82429782,0.242073097,0.959121376,FALSE,FALSE,TRUE,0
145,-0.752405309,-1.082161659,-0.143779563,-0.640713395,1.006253419,FALSE,TRUE,FALSE,0
146,-0.752405309,-1.082161659,0.408444269,-0.389921778,1.037674781,TRUE,FALSE,FALSE,0
147,-0.802401343,-1.082161659,-0.132623526,0.01134481,1.116228187,FALSE,TRUE,FALSE,0
148,-0.852397376,-1.149562545,-0.891234042,0.80384632,1.14764955,FALSE,FALSE,TRUE,0
149,-0.802401343,-1.149562545,-0.366900303,-0.00871852,1.194781593,FALSE,TRUE,FALSE,0
150,-0.802401343,-1.149562545,-0.651379246,0.272168091,1.226202956,FALSE,TRUE,FALSE,0
151,-0.802401343,-1.21696343,-0.422680488,-0.239446807,1.257624318,FALSE,FALSE,TRUE,0
152,-0.802401343,-1.21696343,0.252259751,0.101629792,1.304756362,FALSE,FALSE,TRUE,0
153,-0.802401343,-1.21696343,1.736012672,-1.302803264,1.351888405,FALSE,TRUE,FALSE,0
154,-0.802401343,-1.21696343,-0.060109285,-0.379890113,1.383309767,FALSE,TRUE,FALSE,0
155,-0.802401343,-1.21696343,2.500201206,-2.025083121,1.41473113,TRUE,FALSE,FALSE,0
156,-0.802401343,-1.284364316,-0.244183896,0.603213026,1.493284536,FALSE,FALSE,TRUE,0
157,-0.802401343,-1.21696343,-0.33901021,0.352421409,1.540416579,TRUE,FALSE,FALSE,0
158,-0.802401343,-1.21696343,-0.221871822,0.001313145,1.618969985,FALSE,FALSE,TRUE,0
159,-0.802401343,-1.21696343,-0.37805634,0.703529673,1.666102029,FALSE,TRUE,FALSE,0
160,-0.802401343,-1.21696343,-1.432301836,2.077867734,1.697523391,FALSE,TRUE,FALSE,1
161,-0.852397376,-1.284364316,-0.707159431,1.235207901,1.728944753,FALSE,TRUE,FALSE,1
162,-0.852397376,-1.284364316,0.263415788,-0.450111766,-1.695983744,FALSE,TRUE,FALSE,0
163,-0.802401343,-1.21696343,-0.394790395,0.382516403,-1.664562382,FALSE,FALSE,TRUE,0
164,-0.752405309,-1.149562545,-0.550974913,0.362453073,-1.617430338,FALSE,FALSE,TRUE,0
165,-0.752405309,-1.082161659,1.083384507,-1.403119911,-1.570298295,FALSE,TRUE,FALSE,0
166,-0.802401343,-1.21696343,0.408444269,-0.741030042,-1.538876933,TRUE,FALSE,FALSE,0
167,-0.802401343,-1.149562545,-0.45057058,0.292231421,-1.460323527,TRUE,FALSE,FALSE,0
168,-0.802401343,-1.149562545,-0.590021043,2.238374369,-1.381770121,FALSE,TRUE,FALSE,1
169,-0.802401343,-1.149562545,-1.23149317,1.917361099,-1.350348758,FALSE,TRUE,FALSE,0
170,-0.802401343,-1.21696343,0.397288232,-0.500270089,-1.318927396,FALSE,FALSE,TRUE,0
171,-0.90239341,-1.284364316,-0.428258506,1.084732931,-1.271795352,FALSE,TRUE,FALSE,0
172,-0.952389443,-1.351765201,2.148786041,-1.924766474,-1.24037399,FALSE,FALSE,TRUE,0
173,-0.90239341,-1.351765201,0.29130588,-0.63068173,-1.193241946,FALSE,FALSE,TRUE,0
174,-0.90239341,-1.284364316,-1.298429392,1.837107782,-1.146109903,FALSE,TRUE,FALSE,0
175,-0.90239341,-1.284364316,-0.874499986,0.352421409,-1.114688541,FALSE,TRUE,FALSE,0
176,-0.90239341,-1.284364316,0.44191238,-0.530365083,-1.083267178,FALSE,TRUE,FALSE,0
177,-0.90239341,-1.21696343,2.505779225,-1.864576486,-1.051845816,FALSE,TRUE,FALSE,0
178,-0.90239341,-1.21696343,-0.573286987,1.024542943,-1.020424453,FALSE,TRUE,FALSE,0
179,-0.90239341,-1.149562545,-1.309585429,0.984416284,-0.989003091,FALSE,TRUE,FALSE,0
180,-0.90239341,-1.149562545,-0.355744266,0.994447948,-0.957581729,FALSE,TRUE,FALSE,0
181,-0.90239341,-1.149562545,1.590984191,-1.583689875,-0.926160366,TRUE,FALSE,FALSE,0
182,-0.952389443,-1.21696343,-1.097620726,0.813877984,-0.84760696,FALSE,FALSE,TRUE,0
183,-0.952389443,-1.21696343,-0.299964081,0.071534798,-0.800474917,FALSE,TRUE,FALSE,0
184,-0.90239341,-1.21696343,0.715235286,-0.941663335,-0.769053555,FALSE,TRUE,FALSE,0
185,-0.90239341,-1.21696343,-0.517506802,-0.179256819,-0.737632192,FALSE,TRUE,FALSE,0
186,-0.952389443,-1.149562545,-1.326319485,1.606379494,-0.70621083,FALSE,TRUE,FALSE,0
187,-0.90239341,-1.082161659,-0.891234042,0.31229475,-0.674789467,FALSE,TRUE,FALSE,0
188,-0.852397376,-1.014760773,0.374976158,-0.640713395,-0.643368105,FALSE,TRUE,FALSE,0
189,-0.852397376,-1.082161659,0.001248918,0.342389744,-0.611946743,FALSE,FALSE,TRUE,0
190,-0.90239341,-1.082161659,-0.344588229,0.994447948,-0.564814699,FALSE,TRUE,FALSE,0
191,-0.90239341,-1.082161659,0.709657268,-0.540396748,-0.533393337,FALSE,TRUE,FALSE,0
192,-0.90239341,-1.082161659,-0.78525169,1.185049577,-0.501971974,TRUE,FALSE,FALSE,0
193,-0.90239341,-1.082161659,0.77659349,-0.540396748,-0.423418569,TRUE,FALSE,FALSE,0
194,-0.90239341,-1.014760773,6.35461199,-2.937964607,-0.344865163,FALSE,FALSE,TRUE,1
195,-0.852397376,-1.014760773,-0.478460673,0.292231421,-0.297733119,FALSE,TRUE,FALSE,0
196,-0.852397376,-0.947359888,-0.595599061,0.95432129,-0.266311757,TRUE,FALSE,FALSE,0
197,-0.802401343,-0.947359888,-0.065687304,0.091598127,-0.187758351,FALSE,FALSE,TRUE,0
198,-0.802401343,-0.879959002,0.274571825,-0.500270089,-0.140626307,FALSE,TRUE,FALSE,0
199,-0.802401343,-0.947359888,-0.590021043,0.713561337,-0.109204945,FALSE,TRUE,FALSE,0
200,-0.802401343,-0.947359888,0.391710213,-0.500270089,-0.077783583,FALSE,TRUE,FALSE,0
201,-0.852397376,-1.014760773,0.202057584,0.121693121,-0.04636222,FALSE,TRUE,FALSE,0
202,-0.802401343,-1.014760773,0.542316713,-0.430048436,-0.014940858,FALSE,FALSE,TRUE,0
203,-0.802401343,-1.014760773,-0.272073988,-0.209351813,0.032191186,FALSE,TRUE,FALSE,0
204,-0.802401343,-1.014760773,1.128008655,-0.720966712,0.063612548,FALSE,TRUE,FALSE,0
205,-0.752405309,-0.947359888,-1.086464689,1.305429554,0.09503391,FALSE,FALSE,TRUE,0
206,-0.752405309,-0.879959002,0.391710213,-0.470175095,0.142165954,FALSE,TRUE,FALSE,0
207,-0.802401343,-0.879959002,-0.656957265,2.077867734,0.173587316,FALSE,FALSE,TRUE,1
208,-0.802401343,-0.947359888,0.29130588,-0.32973179,0.22071936,FALSE,TRUE,FALSE,0
209,-0.802401343,-0.947359888,-0.344588229,0.402579732,0.252140722,FALSE,TRUE,FALSE,0
210,-0.802401343,-0.879959002,-0.087999378,-0.389921778,0.283562085,FALSE,TRUE,FALSE,0
211,-0.752405309,-0.879959002,0.202057584,-0.610618401,0.314983447,FALSE,TRUE,FALSE,0
212,-0.802401343,-0.879959002,-1.086464689,1.295397889,0.346404809,TRUE,FALSE,FALSE,0
213,-0.802401343,-0.879959002,-0.852187912,0.492864714,0.424958215,FALSE,TRUE,FALSE,0
214,-0.852397376,-0.947359888,0.280149843,-0.289605131,0.456379578,FALSE,FALSE,TRUE,0
215,-0.852397376,-0.947359888,0.051451085,0.031408139,0.503511621,FALSE,TRUE,FALSE,0
216,-0.852397376,-0.947359888,-0.221871822,-0.169225155,0.534932984,FALSE,TRUE,FALSE,0
217,-0.852397376,-1.014760773,0.698501231,-0.841346688,0.566354346,FALSE,TRUE,FALSE,0
218,-0.852397376,-0.947359888,-0.511928784,-0.189288484,0.597775708,FALSE,TRUE,FALSE,0
219,-0.852397376,-1.014760773,-0.584443024,0.623276355,0.629197071,FALSE,FALSE,TRUE,0
220,-0.852397376,-1.014760773,-0.684847357,1.27533456,0.676329114,FALSE,TRUE,FALSE,0
221,-0.802401343,-1.014760773,1.607718246,-1.57365821,0.707750477,TRUE,FALSE,FALSE,0
222,-0.802401343,-0.947359888,-1.309585429,0.502896379,0.786303883,FALSE,TRUE,FALSE,0
223,-0.802401343,-0.947359888,0.168589473,-0.560460077,0.817725245,FALSE,TRUE,FALSE,0
224,-0.852397376,-0.947359888,0.252259751,-1.072074976,0.849146607,FALSE,TRUE,FALSE,0
225,-0.852397376,-1.014760773,-0.986060356,1.385682871,0.88056797,FALSE,TRUE,FALSE,0
226,-0.852397376,-1.082161659,-1.170134967,0.924226296,0.911989332,FALSE,TRUE,FALSE,0
227,-0.852397376,-1.014760773,0.001248918,-0.389921778,0.943410694,FALSE,TRUE,FALSE,0
228,-0.852397376,-1.014760773,0.503270583,-0.289605131,0.974832057,FALSE,FALSE,TRUE,0
229,-0.852397376,-1.014760773,-0.0043291,-0.7811567,1.0219641,FALSE,TRUE,FALSE,0
230,-0.852397376,-0.947359888,0.174167492,-0.520333419,1.053385463,FALSE,TRUE,FALSE,0
231,-0.852397376,-1.082161659,-0.729471505,0.31229475,1.084806825,FALSE,TRUE,FALSE,0
232,-0.90239341,-1.082161659,-0.640223209,0.763719661,1.116228187,FALSE,TRUE,FALSE,0
233,-0.90239341,-1.082161659,-0.149357581,-0.510301754,1.14764955,FALSE,TRUE,FALSE,0
234,-0.90239341,-1.082161659,-0.33901021,0.292231421,1.179070912,FALSE,TRUE,FALSE,0
235,-0.952389443,-1.149562545,0.787749527,-0.63068173,1.210492274,FALSE,FALSE,TRUE,0
236,-0.952389443,-1.149562545,-0.244183896,-0.129098496,1.257624318,FALSE,TRUE,FALSE,0
237,-1.002385477,-1.284364316,0.073763159,-0.339763454,1.28904568,FALSE,FALSE,TRUE,0
238,-1.052381511,-1.284364316,-0.813141783,1.034574607,1.336177724,FALSE,TRUE,FALSE,0
239,-1.002385477,-1.21696343,0.40286625,-0.941663335,1.367599086,FALSE,TRUE,FALSE,0
240,-1.002385477,-1.284364316,-1.114354782,1.164986248,1.399020449,FALSE,FALSE,TRUE,0
241,-1.002385477,-1.284364316,1.328817321,-1.57365821,1.446152492,FALSE,TRUE,FALSE,0
242,-1.002385477,-1.21696343,-1.064152615,1.887266105,1.477573855,FALSE,TRUE,FALSE,1
243,-1.002385477,-1.21696343,-0.539818876,0.412611397,1.508995217,FALSE,TRUE,FALSE,0
244,-1.002385477,-1.21696343,-0.801985746,0.914194631,1.540416579,FALSE,FALSE,TRUE,0
245,-1.052381511,-1.284364316,0.492114546,-0.861410018,1.587548623,FALSE,FALSE,TRUE,0
246,-1.052381511,-1.284364316,0.257837769,-0.650745059,1.634680666,FALSE,TRUE,FALSE,0
247,-1.002385477,-1.21696343,-0.389212377,0.553054702,1.666102029,FALSE,TRUE,FALSE,0
248,-1.002385477,-1.149562545,-0.986060356,1.686632812,1.697523391,FALSE,TRUE,FALSE,1
249,-1.002385477,-1.149562545,-0.746205561,1.626442824,1.728944753,FALSE,TRUE,FALSE,1
250,-1.002385477,-1.149562545,0.687345194,-0.730998377,-1.695983744,FALSE,TRUE,FALSE,0
251,-1.002385477,-1.21696343,-0.405946432,0.262136427,-1.664562382,FALSE,FALSE,TRUE,0
252,-1.002385477,-1.21696343,0.453068417,-0.420016772,-1.617430338,FALSE,TRUE,FALSE,0
253,-1.002385477,-1.21696343,-1.013950449,0.823909649,-1.586008976,FALSE,TRUE,FALSE,0
254,-1.002385477,-1.21696343,-0.138201544,-0.209351813,-1.554587614,FALSE,TRUE,FALSE,0
255,-1.002385477,-1.21696343,-0.277652007,0.041439804,-1.523166251,FALSE,TRUE,FALSE,0
256,-0.952389443,-1.149562545,-1.15897893,2.308596022,-1.491744889,FALSE,TRUE,FALSE,0
257,-1.002385477,-1.351765201,0.425178324,-1.052011647,-1.460323527,FALSE,TRUE,FALSE,0
258,-0.952389443,-1.21696343,-0.316698136,-0.209351813,-1.428902164,FALSE,TRUE,FALSE,0
259,-0.952389443,-1.21696343,-0.662535283,2.398881004,-1.397480802,FALSE,FALSE,TRUE,1
260,-0.90239341,-1.149562545,-0.093577396,0.914194631,-1.350348758,FALSE,FALSE,TRUE,0
261,-0.952389443,-1.21696343,0.642721046,-0.791188365,-1.303216715,FALSE,TRUE,FALSE,0
262,-0.952389443,-1.21696343,1.100118563,-1.322866593,-1.271795352,FALSE,FALSE,TRUE,0
